dataResourceName,year,month,locality,decimalLatitude,decimalLongitude,stateProvince,scientificName
Geelong Field Naturalists Club,2021,5,"Brisbane Track, Brisbane Ranges, Victoria .",-37.8908,144.16742,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,8,"Whinray Rd, Meredith, Vic",-37.806878,144.146537,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,2,Brisbane Ranges National Park,-37.755869,144.270196,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,10,Brisbane Ranges National Park,-37.78976,144.27217,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,10,"Whinray Rd, Meredith, Vic",-37.80807,144.1492,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,1,"Lake Elizabeth, Forrest",-38.552481,143.75549,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,7,Brisbane Ranges National Park,-37.76743,144.27966,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,2,Brisbane Ranges National Park,-37.746266,144.267921,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,1,"Marengo, Victoria",-38.78802,143.61883,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,2,"Brisbane Track, Brisbane Ranges, Victoria",-37.8004,144.30109,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,11,Moorabool River Reserve,-38.09929,144.28343,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2023,10,Moorabool River Reserve,-38.094426,144.2719,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,12,Wombat State Forest,-37.4745,144.44001,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,1,Moorabool River Reserve,-38.099288,144.283426,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,11,Wombat State Forest,-37.461827,144.277191,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,12,"Whinray Rd, Meredith, Vic",-37.807023,144.146415,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,9,"Long Forest, Gravelly Track",-37.66679,144.50081,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2023,1,Wombat State Forest,-37.44712,144.45991,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2023,12,"Outlook Tk, Brisbane Ranges",-37.86467,144.243545,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,11,"Whinray Rd, Meredith, Vic",-37.80501,144.14492,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2020,11,"Whinray Rd, Meredith, Vic",-37.80499,144.14492,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,9,"Cumberland River, Otways",-38.56543,143.96309,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2021,10,"Whinray Rd, Meredith, Vic",-37.80807,144.1492,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2022,12,Teesdale Woodland Reserve,-38.004726,144.014626,Victoria,Phascolarctos cinereus
Geelong Field Naturalists Club,2024,4,Breakfast Creek,-38.368256,144.053731,Victoria,Phascolarctos cinereus
