Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Date extracted,Family,Genus,Species
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Abutilon,julianae
Acacia ammophila,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,ammophila
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,anomala
Acacia aphylla,Leafless Rock Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,aphylla
Acacia aprica,Blunt Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,aprica
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,araneosa
Acacia aristulata,Watheroo Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,aristulata
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,ataxiphylla
Acacia atrox,Myall Creek Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,atrox
Acacia attenuata,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,attenuata
Acacia auratiflora,Orange-flowered Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,auratiflora
Acacia awestoniana,Stirling Range Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,awestoniana
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,axillaris
Acacia baueri subsp. aspera,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,baueri
Acacia blayana,Blay's Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,blayana
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,brachypoda
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,bynoeana
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,caerulescens
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,-,Yes,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,carneorum
Acacia chapmanii subsp. australis,-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,chapmanii
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,cochlocarpa
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,cochlocarpa
Acacia constablei,Narrabarba Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,constablei
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,courtii
Acacia cretacea,Chalky Wattle,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,cretacea
Acacia crombiei,Pink Gidgee,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,crombiei
